"","front","typhoon","hr","ehr","tr","etr"
"20010706",0,0,0,0,0,0
"20010707",0,0,0,0,0,0
"20010708",0,0,0,0,0,0
"20010709",0,0,0,0,0,0
"20010710",0,1,0,0,0,0
"20010711",0,1,0,0,0,0
"20010712",0,0,0,0,0,0
"20010713",0,0,0,0,0,0
"20010714",0,0,1,0,0,0
"20010715",0,0,1,0,0,0
"20010716",0,0,1,0,0,0
"20010717",0,0,1,1,0,0
"20010718",0,0,1,0,0,0
"20010719",0,0,0,0,0,0
"20010720",0,0,0,0,0,0
"20010721",0,0,0,0,0,0
"20010722",0,0,0,0,0,0
"20010723",0,1,0,0,0,0
"20010724",0,1,0,0,0,0
"20010725",0,0,0,0,0,0
"20010726",0,0,0,0,0,0
"20010727",0,0,0,0,0,0
"20010728",0,1,0,0,0,0
"20010729",0,1,0,0,0,0
"20010730",0,1,0,0,0,0
"20010731",0,1,0,0,0,0
"20010801",0,0,0,0,0,0
"20010802",0,0,0,0,0,0
"20010803",0,0,0,0,0,0
"20010804",0,0,0,0,0,0
"20010805",0,0,0,0,0,0
"20010806",0,0,0,0,0,0
"20010807",0,0,0,0,0,0
"20010808",0,0,0,0,0,0
"20010809",0,0,0,0,0,0
"20010810",0,0,0,0,0,0
"20010811",0,0,0,0,0,0
"20010812",0,0,0,0,0,0
"20010813",0,0,0,0,0,0
"20010814",0,0,0,0,0,0
"20010815",0,0,0,0,0,0
"20010816",0,0,0,0,0,0
"20010817",0,0,0,0,0,0
"20010818",0,0,0,0,0,0
"20010819",0,0,0,0,0,0
"20010820",0,0,0,0,0,0
"20010821",0,0,0,0,0,0
"20010822",0,0,0,0,0,0
"20010823",0,0,0,0,0,0
"20010824",0,0,0,0,0,0
"20010825",0,0,0,0,0,0
"20010826",0,0,0,0,0,0
"20010827",0,0,0,0,0,0
"20010828",0,0,0,0,0,0
"20010829",0,0,1,0,0,0
"20010830",0,0,0,0,0,0
"20010831",1,0,0,0,0,0
"20010901",1,0,1,0,0,0
"20010902",0,0,1,0,0,0
"20010903",0,0,1,1,0,0
"20010904",0,0,1,0,0,0
"20010905",0,0,1,1,1,0
"20010906",0,0,1,1,1,0
"20010907",0,0,0,0,0,0
"20010908",0,1,0,0,0,0
"20010909",0,1,0,0,0,0
"20010910",0,1,0,0,0,0
"20010911",0,0,0,0,0,0
"20010912",0,0,0,0,0,0
"20010913",0,1,0,0,0,0
"20010914",0,1,0,0,0,0
"20010915",0,1,0,0,0,0
"20010916",0,1,1,1,1,1
"20010917",0,1,1,1,1,1
"20010918",0,1,1,1,1,0
"20010919",0,1,1,1,0,0
